,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Sales_avg_store
0,1,c,a,1270.0,9.0,2008.0,0,,,,4792.867256637193
1,2,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",4875.617067833727
2,3,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",6910.3303571428205
3,4,c,c,620.0,9.0,2009.0,0,,,,9420.184444444343
4,5,a,a,29910.0,4.0,2015.0,0,,,,4644.287581699391
5,6,a,a,310.0,12.0,2013.0,0,,,,5865.226164079767
6,7,a,c,24000.0,4.0,2013.0,0,,,,8621.621681415882
7,8,a,a,7520.0,10.0,2014.0,0,,,,5115.035794183472
8,9,a,c,2030.0,8.0,2000.0,0,,,,6032.762114537421
9,10,a,a,3160.0,9.0,2009.0,0,,,,5438.208888888856
10,11,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",7941.2725225225595
11,12,a,c,1070.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct",7380.607929515304
12,13,d,a,310.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",4946.405213270158
13,14,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",5452.376940133049
14,15,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",6473.613186813093
15,16,a,c,3270.0,,,0,,,,7431.8921348313825
16,17,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",6257.898230088437
17,18,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",6251.002207505518
18,19,a,c,3240.0,,,1,22.0,2011.0,"Mar,Jun,Sept,Dec",6213.475663716872
19,20,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",7533.670644391353
20,21,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",5348.180616740127
21,22,a,a,1040.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct",4461.3056872038005
22,23,d,a,4060.0,8.0,2005.0,0,,,,5490.898190045263
23,24,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",9021.319101123529
24,25,c,a,430.0,4.0,2003.0,0,,,,11295.341232227413
25,26,d,a,2300.0,,,0,,,,6477.221238938127
26,27,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",9278.838495575195
27,28,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",5488.812080536959
28,29,d,c,2170.0,,,0,,,,6809.03964757699
29,30,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",5668.827981651327
30,31,d,c,9800.0,7.0,2012.0,0,,,,5778.421978021973
31,32,a,a,2910.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",4037.5480093676633
32,33,a,c,1320.0,5.0,2013.0,0,,,,8421.158013544044
33,34,c,a,2240.0,9.0,2009.0,0,,,,7938.152173913078
34,35,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",9172.522321428534
35,36,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",9220.31666666672
36,37,c,a,4230.0,12.0,2014.0,0,,,,7206.624444444544
37,38,d,a,1090.0,4.0,2007.0,0,,,,5895.56607929521
38,39,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov",4664.398249452936
39,40,a,a,180.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",5038.883720930208
40,41,d,c,1180.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct",5069.997652582186
41,42,a,c,290.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct",9901.936542669579
42,43,d,a,4880.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct",6965.159909909956
43,44,a,a,540.0,6.0,2011.0,0,,,,5436.119369369427
44,45,d,a,9710.0,2.0,2014.0,0,,,,5305.56473214285
45,46,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5283.427184465982
46,47,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",6853.272930648739
47,48,a,a,1060.0,5.0,2012.0,0,,,,4093.865800865767
48,49,d,c,18010.0,9.0,2007.0,0,,,,6988.083521444722
49,50,d,a,6260.0,11.0,2009.0,0,,,,4171.125560538118
50,51,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",6494.790476190421
51,52,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct",7706.775413711558
52,53,a,c,30360.0,9.0,2013.0,0,,,,5096.0
53,54,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",7815.280623607932
54,55,a,a,720.0,11.0,2004.0,0,,,,4284.310961968718
55,56,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",6775.9441964286125
56,57,d,c,420.0,6.0,2014.0,0,,,,11522.905829596348
57,58,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",6022.860849056543
58,59,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5468.909090909143
59,60,d,c,5540.0,10.0,2009.0,0,,,,7586.246724890892
60,61,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",4437.827740492151
61,62,a,a,2050.0,,,0,,,,6394.956236323816
62,63,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",6655.04666666674
63,64,d,c,22560.0,,,1,14.0,2013.0,"Jan,Apr,Jul,Oct",9847.17342342343
64,65,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",5014.421875
65,66,d,a,7660.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct",6023.288888888898
66,67,a,c,410.0,2.0,2006.0,0,,,,7679.05066079285
67,68,a,c,250.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec",7276.560706401717
68,69,c,c,1130.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct",9600.049327354242
69,70,c,c,4840.0,,,0,,,,6520.453563714872
70,71,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec",8932.525842696521
71,72,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",4436.990632318467
72,73,a,c,1650.0,9.0,2008.0,0,,,,4449.7454954954355
73,74,a,a,330.0,,,0,,,,6201.201754386037
74,75,d,c,22440.0,12.0,2013.0,0,,,,5860.195555555604
75,76,d,c,19960.0,3.0,2006.0,0,,,,8842.186157517981
76,77,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",7390.901345291544
77,78,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",3648.9887892376273
78,79,a,a,3320.0,,,0,,,,5358.729670329638
79,80,d,a,7910.0,,,0,,,,7435.959550561842
80,81,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",6818.993055555513
81,82,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",8886.217294900289
82,83,a,a,2710.0,,,0,,,,3805.4513274335955
83,84,a,c,11810.0,8.0,2014.0,0,,,,12698.146993318556
84,85,b,a,1870.0,10.0,2011.0,0,,,,7189.968864468859
85,86,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",4645.554809843376
86,87,a,a,560.0,12.0,2010.0,0,,,,5871.966367713055
87,88,a,a,10690.0,10.0,2005.0,0,,,,5970.893805309693
88,89,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",5893.878859857531
89,90,a,a,330.0,11.0,2007.0,0,,,,8293.685968819598
90,91,c,a,2410.0,,,1,35.0,2011.0,"Jan,Apr,Jul,Oct",5902.27753303959
91,92,c,a,240.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",5715.278651685425
92,93,a,a,16690.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5970.292134831519
93,94,d,c,14620.0,,,0,,,,6912.940133037631
94,95,a,a,1890.0,10.0,2014.0,0,,,,7852.792494481323
95,96,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",5028.277777777813
96,97,d,c,8980.0,,,0,,,,6514.326576576569
97,98,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",4838.674208144797
98,99,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",4871.659523809511
99,100,d,a,17930.0,,,0,,,,7848.265508684818
100,101,d,c,2440.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec",7206.456375838839
101,102,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",6950.292134831541
102,103,d,c,5210.0,5.0,2015.0,0,,,,4532.213815789485
103,104,a,a,390.0,6.0,2009.0,0,,,,9999.671111111187
104,105,a,c,6190.0,,,1,23.0,2013.0,"Mar,Jun,Sept,Dec",4055.179906542
105,106,a,a,1390.0,8.0,2013.0,0,,,,8564.904872389823
106,107,a,a,1930.0,9.0,2009.0,0,,,,7119.429530201387
107,108,d,c,2190.0,9.0,2003.0,0,,,,10493.348668280965
108,109,a,c,3300.0,11.0,2010.0,0,,,,6288.3758389260975
109,110,a,c,46590.0,4.0,2013.0,0,,,,4554.254859611238
110,111,d,c,7890.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct",6702.656884875743
111,112,a,a,1630.0,9.0,2009.0,0,,,,6159.512195121962
112,113,d,c,20930.0,11.0,1999.0,0,,,,7694.6443914081665
113,114,c,a,4510.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec",5305.838565022376
114,115,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",7077.261904761997
115,116,a,a,680.0,4.0,2013.0,0,,,,7268.276169265065
116,117,a,a,3450.0,9.0,2011.0,0,,,,3849.495412844016
117,118,d,c,3580.0,9.0,2012.0,0,,,,7387.919213973829
118,119,a,c,2100.0,2.0,2010.0,0,,,,5907.501113585692
119,120,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",7110.5
120,121,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",4427.455555555561
121,122,a,c,58260.0,4.0,2013.0,0,,,,6286.72709551651
122,123,a,a,16760.0,9.0,2011.0,0,,,,8311.773420479232
123,124,a,a,1410.0,4.0,2003.0,0,,,,4292.647450110874
124,125,a,a,760.0,12.0,2005.0,0,,,,11776.641083521528
125,126,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",7098.130337078614
126,127,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",5165.794871794859
127,128,d,c,2000.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct",6893.852017937227
128,129,a,a,2460.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct",9327.445754717031
129,130,c,a,900.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct",5049.846846846861
130,131,c,a,920.0,7.0,2015.0,0,,,,5443.788288288285
131,132,d,c,1040.0,,,1,27.0,2012.0,"Jan,Apr,Jul,Oct",5853.704918032828
132,133,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",6526.192393735989
133,134,a,a,1200.0,9.0,2008.0,0,,,,4741.320796460204
134,135,d,a,5190.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct",5787.7250554324055
135,136,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov",5463.435835351101
136,137,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",8150.443396226477
137,138,a,c,25360.0,10.0,2014.0,0,,,,7034.756521739088
138,139,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",6407.292978208184
139,140,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",7304.704697986596
140,141,c,c,1540.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec",5487.180180180222
141,142,a,a,1090.0,7.0,2002.0,0,,,,4595.840807174843
142,143,d,a,2930.0,12.0,2002.0,0,,,,6033.827272727263
143,144,a,c,16570.0,,,0,,,,7819.770142180025
144,145,a,a,280.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",8564.184079601953
145,146,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",7464.231788079368
146,147,d,c,8540.0,,,0,,,,8048.521640091177
147,148,a,a,2090.0,12.0,2008.0,0,,,,8483.67857142856
148,149,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5579.447058823466
149,150,c,c,31830.0,3.0,2010.0,0,,,,8039.320261437873
150,151,d,c,4360.0,10.0,2005.0,0,,,,6488.533783783704
151,152,a,a,1780.0,,,0,,,,5459.147902869741
152,153,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov",7232.946428571386
153,154,d,c,16420.0,,,0,,,,8455.957871396948
154,155,d,a,3050.0,,,1,35.0,2010.0,"Jan,Apr,Jul,Oct",6784.364485981376
155,156,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec",6942.183982683912
156,157,a,c,2950.0,10.0,2004.0,0,,,,9568.17897091715
157,158,d,c,11840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov",7989.404867256583
158,159,d,a,8530.0,3.0,2013.0,0,,,,7735.761792452894
159,160,d,c,17110.0,11.0,2005.0,0,,,,5670.354625550601
160,161,a,c,2970.0,3.0,2005.0,0,,,,7076.715555555624
161,162,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",7608.895555555474
162,163,a,a,1480.0,4.0,2009.0,0,,,,7603.7296703296015
163,164,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",6076.26823529414
164,165,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",4011.338983050825
165,166,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",5932.44071588372
166,167,a,a,140.0,4.0,2008.0,0,,,,8925.420479302857
167,168,a,a,12540.0,,,0,,,,7411.720090293415
168,169,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",7898.6488888888525
169,170,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5118.563876651999
170,171,a,a,2640.0,,,0,,,,8361.19463087246
171,172,a,a,110.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct",6908.2890995261005
172,173,a,a,350.0,12.0,2012.0,0,,,,8324.674832962119
173,174,a,a,13090.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct",5823.2815533980165
174,175,c,a,4130.0,,,0,,,,5630.63228699553
175,176,a,a,3770.0,,,0,,,,5281.084632516713
176,177,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov",4016.7941176470454
177,178,d,a,1710.0,,,0,,,,9784.686800894917
178,179,a,c,480.0,,,0,,,,7065.684210526294
179,180,d,a,5800.0,9.0,2010.0,0,,,,7186.253333333389
180,181,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",6498.33091787436
181,182,d,c,1390.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec",5017.026845637577
182,183,a,a,9670.0,,,0,,,,4665.240000000028
183,184,d,c,3560.0,,,0,,,,6577.77628635339
184,185,d,c,1860.0,5.0,2015.0,0,,,,6931.596412556126
185,186,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3694.22946859901
186,187,a,c,19360.0,,,0,,,,6173.170731707362
187,188,d,a,850.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov",4739.520971302411
188,189,d,a,5760.0,7.0,2014.0,0,,,,8867.65265486725
189,190,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",6973.145933014342
190,191,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",6862.812195121905
191,192,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",7442.964114832593
192,193,a,a,520.0,,,0,,,,5348.512304250606
193,194,d,c,16970.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov",4672.258426966295
194,195,a,c,220.0,,,0,,,,10575.457330415878
195,196,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5142.598214285753
196,197,c,a,4210.0,3.0,2015.0,0,,,,6771.935982339992
197,198,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2901.630769230733
198,199,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec",7591.057395143443
199,200,a,a,1650.0,10.0,2000.0,0,,,,7670.164444444357
200,201,d,a,20260.0,,,1,18.0,2014.0,"Mar,Jun,Sept,Dec",5128.995584988966
201,202,d,c,5140.0,5.0,2010.0,0,,,,5776.571111111086
202,203,c,c,490.0,11.0,2002.0,0,,,,6490.539301310094
203,204,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",5396.792362768529
204,205,a,a,110.0,12.0,2007.0,0,,,,6567.070294784509
